Title;Release Year;Locations;Fun Facts;Production Company;Distributor;Director;Writer;Actor 1;Actor 2;Actor 3
The Dead Pool;1988;Pierce & California Streets (Pacific Heights);;Warner Bros. Pictures;Warner Bros. Pictures;Buddy Van Horn;Harry Julian Fink;Clint Eastwood;Liam Neeson;Patricia Clarkson
The Dead Pool;1988;Pier 3 (The Embarcadero);;Warner Bros. Pictures;Warner Bros. Pictures;Buddy Van Horn;Harry Julian Fink;Clint Eastwood;Liam Neeson;Patricia Clarkson
The Dead Pool;1988;New Asia Restaurant (772 Pacific Avenue at Grant);;Warner Bros. Pictures;Warner Bros. Pictures;Buddy Van Horn;Harry Julian Fink;Clint Eastwood;Liam Neeson;Patricia Clarkson
The Dead Pool;1988;Nam Yuen Restaurant (740 Washington Street, Chinatown);;Warner Bros. Pictures;Warner Bros. Pictures;Buddy Van Horn;Harry Julian Fink;Clint Eastwood;Liam Neeson;Patricia Clarkson
The Dead Pool;1988;Mirant Energy, LLC (1301 Illinois Street, The Dogpatch);;Warner Bros. Pictures;Warner Bros. Pictures;Buddy Van Horn;Harry Julian Fink;Clint Eastwood;Liam Neeson;Patricia Clarkson
The Dead Pool;1988;McAllister & Scott Streets (Hayes Valley);;Warner Bros. Pictures;Warner Bros. Pictures;Buddy Van Horn;Harry Julian Fink;Clint Eastwood;Liam Neeson;Patricia Clarkson
The Dead Pool;1988;KGO-TV ABC7 TV Studios (900 Front Street, Waterfront Historic District);;Warner Bros. Pictures;Warner Bros. Pictures;Buddy Van Horn;Harry Julian Fink;Clint Eastwood;Liam Neeson;Patricia Clarkson
The Dead Pool;1988;Hall of Justice (850 Bryant Street);;Warner Bros. Pictures;Warner Bros. Pictures;Buddy Van Horn;Harry Julian Fink;Clint Eastwood;Liam Neeson;Patricia Clarkson
The Dead Pool;1988;San Francisco National Military Cemetery (Lincoln Blvd., The Presidio, Golden Gate National Recreation Center);;Warner Bros. Pictures;Warner Bros. Pictures;Buddy Van Horn;Harry Julian Fink;Clint Eastwood;Liam Neeson;Patricia Clarkson
The Dead Pool;1988;Silver Restaurant (737 Washington Street, Chinatown);;Warner Bros. Pictures;Warner Bros. Pictures;Buddy Van Horn;Harry Julian Fink;Clint Eastwood;Liam Neeson;Patricia Clarkson
The Dead Pool;1988;Fremont Street Exit of Bay Bridge;;Warner Bros. Pictures;Warner Bros. Pictures;Buddy Van Horn;Harry Julian Fink;Clint Eastwood;Liam Neeson;Patricia Clarkson
The Dead Pool;1988;Folsom & Essex Streets;;Warner Bros. Pictures;Warner Bros. Pictures;Buddy Van Horn;Harry Julian Fink;Clint Eastwood;Liam Neeson;Patricia Clarkson
The Dead Pool;1988;Eber Electronics (2355 Market Street, Castro);;Warner Bros. Pictures;Warner Bros. Pictures;Buddy Van Horn;Harry Julian Fink;Clint Eastwood;Liam Neeson;Patricia Clarkson
The Dead Pool;1988;Clementina & Sumner Streets;;Warner Bros. Pictures;Warner Bros. Pictures;Buddy Van Horn;Harry Julian Fink;Clint Eastwood;Liam Neeson;Patricia Clarkson
The Dead Pool;1988;Carl & Cole Streets (Cole Valley);;Warner Bros. Pictures;Warner Bros. Pictures;Buddy Van Horn;Harry Julian Fink;Clint Eastwood;Liam Neeson;Patricia Clarkson
The Dead Pool;1988;710 Steiner Street (Hayes Valley);;Warner Bros. Pictures;Warner Bros. Pictures;Buddy Van Horn;Harry Julian Fink;Clint Eastwood;Liam Neeson;Patricia Clarkson
The Dead Pool;1988;550 El Camino Del Mar (Seacliff);;Warner Bros. Pictures;Warner Bros. Pictures;Buddy Van Horn;Harry Julian Fink;Clint Eastwood;Liam Neeson;Patricia Clarkson
The Dead Pool;1988;23rd & Iowa Streets (Dogpatch);;Warner Bros. Pictures;Warner Bros. Pictures;Buddy Van Horn;Harry Julian Fink;Clint Eastwood;Liam Neeson;Patricia Clarkson
The Dead Pool;1988;22nd Bet. Carolina & Rhode Island Streets (Potrero Hill);;Warner Bros. Pictures;Warner Bros. Pictures;Buddy Van Horn;Harry Julian Fink;Clint Eastwood;Liam Neeson;Patricia Clarkson
The Dead Pool;1988;22nd & Wisconsin Streets (Potrero Hill);;Warner Bros. Pictures;Warner Bros. Pictures;Buddy Van Horn;Harry Julian Fink;Clint Eastwood;Liam Neeson;Patricia Clarkson
The Dead Pool;1988;20th & De Haro Streets (Potrero Hill);;Warner Bros. Pictures;Warner Bros. Pictures;Buddy Van Horn;Harry Julian Fink;Clint Eastwood;Liam Neeson;Patricia Clarkson
The Dead Pool;1988;1954 Mason Street (North Beach);;Warner Bros. Pictures;Warner Bros. Pictures;Buddy Van Horn;Harry Julian Fink;Clint Eastwood;Liam Neeson;Patricia Clarkson
The Dead Pool;1988;San Francisco General Hospital Medical Center (1001 Potrero Avenue, Potrero Hill);SF General Hospital is the only Level I Trauma Center serving San Francisco and northern San Mateo County.;Warner Bros. Pictures;Warner Bros. Pictures;Buddy Van Horn;Harry Julian Fink;Clint Eastwood;Liam Neeson;Patricia Clarkson
The Last of the Gladiators;1988;;;Twin Tower Enterprises;Evel Videos;Martin Jay Sadoff;Martin Jay Sadoff;Evel Knievel;;
The Presidio;1988;Washington Street & Waverly Place (Chinatown);;Paramount Pictures;Paramount Pictures;Peter Hyams;Larry Ferguson;Sean Connery;Mark Harmon;Meg Ryan
The Presidio;1988;Sansome Street (The Embarcadero);;Paramount Pictures;Paramount Pictures;Peter Hyams;Larry Ferguson;Sean Connery;Mark Harmon;Meg Ryan
The Presidio;1988;Presidio (Golden Gate National Recreation Area);In 1776, Spain made the Presidio a fortified area. The area was then given to Mexico, but then given to the US in 1848. The 1994 demilitarization of the area in 1994 marked the end of its 219 years of military use.;Paramount Pictures;Paramount Pictures;Peter Hyams;Larry Ferguson;Sean Connery;Mark Harmon;Meg Ryan
The Presidio;1988;Montgomery & Vallejo Streets (Telegraph Hill);;Paramount Pictures;Paramount Pictures;Peter Hyams;Larry Ferguson;Sean Connery;Mark Harmon;Meg Ryan
The Presidio;1988;Market & 2nd Streets;;Paramount Pictures;Paramount Pictures;Peter Hyams;Larry Ferguson;Sean Connery;Mark Harmon;Meg Ryan
The Presidio;1988;Hayes & Polk Streets (Civic Center);;Paramount Pictures;Paramount Pictures;Peter Hyams;Larry Ferguson;Sean Connery;Mark Harmon;Meg Ryan
The Presidio;1988;Golden Gate Bridge;With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.;Paramount Pictures;Paramount Pictures;Peter Hyams;Larry Ferguson;Sean Connery;Mark Harmon;Meg Ryan
The Presidio;1988;Fort Point (Presidio, Golden Gate National Recreation Area);Built in 1853, Fort Point is the only West Coast fort built by the Union Army. Though the Confederate army planned to attack San Francisco, the commanding Confederate general learned that the war had ended while end route to SF.;Paramount Pictures;Paramount Pictures;Peter Hyams;Larry Ferguson;Sean Connery;Mark Harmon;Meg Ryan
The Presidio;1988;Ferry Building;Every hour and half-hour, the clock bell atop the Ferry Building chimes portions of the Westminster Quarters.;Paramount Pictures;Paramount Pictures;Peter Hyams;Larry Ferguson;Sean Connery;Mark Harmon;Meg Ryan
The Presidio;1988;Coit Tower;The Tower was funded by a gift bequeathed by Lillie Hitchcock Coit, a socialite who reportedly liked to chase fires. Though the tower resembles a firehose nozzle, it was not designed this way.;Paramount Pictures;Paramount Pictures;Peter Hyams;Larry Ferguson;Sean Connery;Mark Harmon;Meg Ryan
The Presidio;1988;Civic Center Plaza;;Paramount Pictures;Paramount Pictures;Peter Hyams;Larry Ferguson;Sean Connery;Mark Harmon;Meg Ryan
The Presidio;1988;Battery Street (The Embarcadero);;Paramount Pictures;Paramount Pictures;Peter Hyams;Larry Ferguson;Sean Connery;Mark Harmon;Meg Ryan
The Presidio;1988;900 Block of Grant Avenue (Chinatown);;Paramount Pictures;Paramount Pictures;Peter Hyams;Larry Ferguson;Sean Connery;Mark Harmon;Meg Ryan
The Presidio;1988;700 Block of Jackson Street (Chinatown);;Paramount Pictures;Paramount Pictures;Peter Hyams;Larry Ferguson;Sean Connery;Mark Harmon;Meg Ryan
The Presidio;1988;200 Block of Sansome Street (Financial District);;Paramount Pictures;Paramount Pictures;Peter Hyams;Larry Ferguson;Sean Connery;Mark Harmon;Meg Ryan
Tucker: The Man and His Dream;1988;City Hall;The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.;Lucasfilm;Paramount Pictures;Francis Ford Coppola;Arnold Schulman;Jeff Bridges;Joan Allen;Marin Landau
Casualties of War;1989;Mission Dolores Park (Mission District) via J-Church MUNI Train;The two land plots that comprise the Park were used as a Jewish cemetery until 1894 when San Francisco prohibited all burials within city limits. The graves were moved to Colma, CA.;Columbia Pictures Corporation;Columbia Pictures;Brian DePalma;Daniel Lang;Michael J. Fox;Sean Penn;
Common Threads: Stories From the Quilt;1989;The Castro;"From 1910-1920 the Castro was called ""Little Scandinavia"" because of its high concentration of residents of Scandinavian ancestry.";Home Box Office (HBO);Direct Cinema Limited;Rob Epstein;Jeffrey Friedman;Sara Lewinstein;David Mandell;
Fat Man and Little Boy;1989;Postcard Row (Alamo Square, Hayes Valley);The 6 Victorian homes across from Alamo Square Park are among the few Victorians to survive the Great Fire.;Paramount Pictures;Paramount Pictures;Roland Joffe;Roland Joffe;Paul Newman;John Cusack;
Indiana Jones and the Last Crusade;1989;Administration Building (Treasure Island);An artificial island, Treasure Island was created for the 1939 Golden Gate International Exposition, and is named after the novel by Robert Louis Stevenson, a one-time San Francisco resident.;Paramount Pictures;Paramount Pictures;Steven Spielberg;Jeffrey Boam;Harrison Ford;Sean Connery;
True Believer;1989;;;Columbia Pictures Corporation;Columbia Pictures;Joseph Ruben;Wesley Strick;James Woods;Robert Downey, Jr.;
Another 48 Hours;1990;;;Eddie Murphy Productions;Paramount Pictures;Walter Hill;Walter Hill;Eddie Murphy;Nick Nolte;
Pacific Heights;1990;Texas & 19th Streets (Potrero Hill);;Morgan Creek Productions;Twentieth Century Fox Film Corporation;John Schlesinger;Daniel Pyne;Melanie Griffith;Matthew Modine;
Pacific Heights;1990;Financial District;;Morgan Creek Productions;Twentieth Century Fox Film Corporation;John Schlesinger;Daniel Pyne;Melanie Griffith;Matthew Modine;
Pacific Heights;1990;Chinatown;First established in the mid-19th Century, SF's Chinatown is the oldest and largest Chinatown in the US.;Morgan Creek Productions;Twentieth Century Fox Film Corporation;John Schlesinger;Daniel Pyne;Melanie Griffith;Matthew Modine;
Pretty Woman;1990;;;Touchstone Pictures;Buena Vista Pictures;Garry Marshall;J.F. Lawton;Richard Gere;Julia Roberts;
Class Action;1991;Mission Dolores (3321 16th Street, Mission District);Mission Dolores' official name is Mission San Francisco de Assis. It is the oldest building in San Francisco, built in 1791, and has survived two major earthquakes.;Interscope Communications;Twentieth Century Fox Film Corp.;Michael Apted;Carolyn Shelby;Gene Hackman;Mary Elizabeth Mastrantonio;
Class Action;1991;City Hall;The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.;Interscope Communications;Twentieth Century Fox Film Corp.;Michael Apted;Carolyn Shelby;Gene Hackman;Mary Elizabeth Mastrantonio;
Class Action;1991;Bix Restaurant (56 Gold Street);;Interscope Communications;Twentieth Century Fox Film Corp.;Michael Apted;Carolyn Shelby;Gene Hackman;Mary Elizabeth Mastrantonio;
Dying Young;1991;;;Twentieth Century Fox Corporation;Twentieth Century Fox Corporation;Joel Schumacher;Richard Friedenberg;Julia Roberts;Campbell Scott;
Shattered;1991;;;Capella International;Metro-Goldwyn-Mayer;Wolfgang Petersen;Wolfgang Petersen;Tom Berenger;Bob Hoskins;
Star Trek VI: The Undiscovered Country;1991;Golden Gate Bridge;With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.;Paramount Pictures;Paramount Pictures;Nicholas Meyer;Nimoy;William Shatner;Leonard Nimoy;George Takei
The Doctor;1991;;;Silver Screen Partners IV;Buena Vista Pictures;Randa Haines;Robert Caswell;William Hurt;Christine Lahti;
The Doors;1991;;;Bill Graham Films;TriStar Pictures;Oliver Stone;J. Randal Johnson;Val Kilmer;Meg Ryan;
Until the End of the World;1991;Tosca Café (242 Columbus Avenue, North Beach);;Village Roadshow Pictures;Warner Bros. Pictures;Wim Wenders;Wim Wenders;Solveig Dommartin;;
Basic Instinct;1992;Yerba Buena Center for the Arts;;Carolco Pictures;TriStar Pictures;Paul Verhoeven;Joe Eszterhas;Michael Douglas;Sharon Stone;George Dzundza
Basic Instinct;1992;Transbay Terminal (Mission Street at 1st Street);Built in 1939, the Terminal linked San Francisco, the East Bay, and Sacramento by rail for the first time.;Carolco Pictures;TriStar Pictures;Paul Verhoeven;Joe Eszterhas;Michael Douglas;Sharon Stone;George Dzundza
Basic Instinct;1992;Tosca Café (242 Columbus Avenue);;Carolco Pictures;TriStar Pictures;Paul Verhoeven;Joe Eszterhas;Michael Douglas;Sharon Stone;George Dzundza
Basic Instinct;1992;Steinhart Aquarium (California Academy of Sciences, Golden Gate Park);The Steinhart Aquarium is home to over 38,000 animals, which represent more than 900 species.;Carolco Pictures;TriStar Pictures;Paul Verhoeven;Joe Eszterhas;Michael Douglas;Sharon Stone;George Dzundza
Basic Instinct;1992;Raw Hide II (280 Seventh Street);;Carolco Pictures;TriStar Pictures;Paul Verhoeven;Joe Eszterhas;Michael Douglas;Sharon Stone;George Dzundza
Basic Instinct;1992;Pier 7 (The Embarcadero);;Carolco Pictures;TriStar Pictures;Paul Verhoeven;Joe Eszterhas;Michael Douglas;Sharon Stone;George Dzundza
Basic Instinct;1992;Kearney Street (Telegraph Hill);;Carolco Pictures;TriStar Pictures;Paul Verhoeven;Joe Eszterhas;Michael Douglas;Sharon Stone;George Dzundza
Basic Instinct;1992;Hall of Justice (850 Bryant Street);;Carolco Pictures;TriStar Pictures;Paul Verhoeven;Joe Eszterhas;Michael Douglas;Sharon Stone;George Dzundza
Basic Instinct;1992;2930 Vallejo Street;;Carolco Pictures;TriStar Pictures;Paul Verhoeven;Joe Eszterhas;Michael Douglas;Sharon Stone;George Dzundza
Basic Instinct;1992;Chinatown;First established in the mid-19th Century, SF's Chinatown is the oldest and largest Chinatown in the US.;Carolco Pictures;TriStar Pictures;Paul Verhoeven;Joe Eszterhas;Michael Douglas;Sharon Stone;George Dzundza
Basic Instinct;1992;Gibb Street (Chinatown);;Carolco Pictures;TriStar Pictures;Paul Verhoeven;Joe Eszterhas;Michael Douglas;Sharon Stone;George Dzundza
Basic Instinct;1992;1158-70 Montgomery Street;;Carolco Pictures;TriStar Pictures;Paul Verhoeven;Joe Eszterhas;Michael Douglas;Sharon Stone;George Dzundza
Basic Instinct;1992;2104 Broadway;;Carolco Pictures;TriStar Pictures;Paul Verhoeven;Joe Eszterhas;Michael Douglas;Sharon Stone;George Dzundza
Final Analysis;1992;Westin St. Francis Hotel (335 Powell Street, Union Square);The hotel was originally supposed to be named the Crocker Hotel, after Charles Founder the railroad magnate who founded it. However, the hotel took the name the St. Francis after one of the earliest Gold Rush hotels.;Warner Bros. Pictures;Warner Bros. Pictures;Phil Joanou;Robert Berger;Richard Gere;Kim Basinger;
Final Analysis;1992;Public Health Service Hospital (Presidio, Golden Gate National Recreation Area);In 1776, Spain made the Presidio a fortified area. The area was then given to Mexico, but then given to the US in 1848. The 1994 demilitarization of the area in 1994 marked the end of its 219 years of military use.;Warner Bros. Pictures;Warner Bros. Pictures;Phil Joanou;Robert Berger;Richard Gere;Kim Basinger;
Final Analysis;1992;Presidio, Golden Gate National Recreation Area;In 1776, Spain made the Presidio a fortified area. The area was then given to Mexico, but then given to the US in 1848. The 1994 demilitarization of the area in 1994 marked the end of its 219 years of military use.;Warner Bros. Pictures;Warner Bros. Pictures;Phil Joanou;Robert Berger;Richard Gere;Kim Basinger;
Final Analysis;1992;City Hall;The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.;Warner Bros. Pictures;Warner Bros. Pictures;Phil Joanou;Robert Berger;Richard Gere;Kim Basinger;
Final Analysis;1992;Bix Restaurant (56 Gold Street);;Warner Bros. Pictures;Warner Bros. Pictures;Phil Joanou;Robert Berger;Richard Gere;Kim Basinger;
Memoirs of an Invisible Man;1992;St. Elizabeth Apartment House (901 Powell Street at Sacramento);;Warner Bros. Pictures;Warner Bros. Pictures;John Carpenter;Robert Collector;Chevy Chase;Daryl Hannah;Sam Neill
Raising Cain;1992;;;Pacific Western;Universal Pictures;Brian DePalma;Brian DePalma;John Lithgow;;
Sister Act;1992;St. Paul's Church (Church Street, Noe Valley);;Touchstone Pictures;Buena Vista Pictures;Emile Ardolino;Joseph Howard;Whoopi Goldberg;Maggie Smith;
Sneakers;1992;The Embarcadero;;Universal Pictures;Universal Pictures;Phil Alden Robinson;Walter Parkes;Sydney Poitier;Robert Redford;
Sneakers;1992;Hills Brothers Plaza (The Embarcadero at Harrison);;Universal Pictures;Universal Pictures;Phil Alden Robinson;Walter Parkes;Sydney Poitier;Robert Redford;
Vegas in Space;1992;Project Artaud (Florida Street);;Troma Entertainment;MCA/Universal Home Video;Phillip R. Ford;Doris Fish;Doris Fish;Miss X;Ginger Quest
Vegas in Space;1992;Corona Heights Park;;Troma Entertainment;MCA/Universal Home Video;Phillip R. Ford;Doris Fish;Doris Fish;Miss X;Ginger Quest
Vegas in Space;1992;544 Natoma (SOMA);;Troma Entertainment;MCA/Universal Home Video;Phillip R. Ford;Doris Fish;Doris Fish;Miss X;Ginger Quest
Vegas in Space;1992;422 Oak Street at Laguna;;Troma Entertainment;MCA/Universal Home Video;Phillip R. Ford;Doris Fish;Doris Fish;Miss X;Ginger Quest
Vegas in Space;1992;3567 18th Street;;Troma Entertainment;MCA/Universal Home Video;Phillip R. Ford;Doris Fish;Doris Fish;Miss X;Ginger Quest
Vegas in Space;1992;Under Highway 101 (near Potrero and Cesar Chavez Streets);;Troma Entertainment;MCA/Universal Home Video;Phillip R. Ford;Doris Fish;Doris Fish;Miss X;Ginger Quest
Fearless;1993;400 Montgomery Street;;Spring Creek Productions;Warner Bros. Pictures;Peter Weir;Rafael Yglesias;Jeff Bridges;Isabella Rosellini;Rosie Perez
Fearless;1993;Folsom Street & Embarcadero;;Spring Creek Productions;Warner Bros. Pictures;Peter Weir;Rafael Yglesias;Jeff Bridges;Isabella Rosellini;Rosie Perez
Fearless;1993;Varennes Alley between Filbert and Union;;Spring Creek Productions;Warner Bros. Pictures;Peter Weir;Rafael Yglesias;Jeff Bridges;Isabella Rosellini;Rosie Perez
Fearless;1993;St. Peter & Paul's Church (666 Filbert Street, Washington Square);Though Marilyn Monroe and Joe DiMaggio were not allowed to be married at the Church (DiMaggio had married his first wife at the Church but was divorced), the couple returned to the steps of the Church for photos, following their City Hall nuptials.;Spring Creek Productions;Warner Bros. Pictures;Peter Weir;Rafael Yglesias;Jeff Bridges;Isabella Rosellini;Rosie Perez
Fearless;1993;San Francisco General Hospital Medical Center (1001 Potrero Avenue, Potrero Hill);SF General Hospital is the only Level I Trauma Center serving San Francisco and northern San Mateo County.;Spring Creek Productions;Warner Bros. Pictures;Peter Weir;Rafael Yglesias;Jeff Bridges;Isabella Rosellini;Rosie Perez
Fearless;1993;Kohl Building (400 Montgomery Street);;Spring Creek Productions;Warner Bros. Pictures;Peter Weir;Rafael Yglesias;Jeff Bridges;Isabella Rosellini;Rosie Perez
Fearless;1993;Bank of America Building (555 California Street);The Bank of America Building was the tallest building on the West Coast from 1969-1972, when it was surpassed by the TransAmerica Pyramid. Today, the Bank of America building is the 5th tallest building on the West Coast.;Spring Creek Productions;Warner Bros. Pictures;Peter Weir;Rafael Yglesias;Jeff Bridges;Isabella Rosellini;Rosie Perez
Fearless;1993;90 Gold Street;;Spring Creek Productions;Warner Bros. Pictures;Peter Weir;Rafael Yglesias;Jeff Bridges;Isabella Rosellini;Rosie Perez
Fearless;1993;5th and Beale Streets;;Spring Creek Productions;Warner Bros. Pictures;Peter Weir;Rafael Yglesias;Jeff Bridges;Isabella Rosellini;Rosie Perez
Heart and Souls;1993;Stockton Tunnel (Stockton Street at Sutter Street);Opened in 1914, the Stockton Tunnel was built to provide North Beach residents access to the thriving downtown area.;Universal Pictures;Electric Parc;Tomas Gislason;Tomas Gislason;Jorgen Leth;;
Heart and Souls;1993;2810 Pacific Avenue;;Universal Pictures;Electric Parc;Tomas Gislason;Tomas Gislason;Jorgen Leth;;
Heart and Souls;1993;War Memorial Opera House (401 Van Ness Avenue);In 1945 the United Nations had its first conference at The War Memorial Opera House.;Universal Pictures;Electric Parc;Tomas Gislason;Tomas Gislason;Jorgen Leth;;
Heart and Souls;1993;Conservatory of Flowers (Golden Gate Park);The Conservatory, unveiled in 1879, is the oldest public conservatory in the Western Hemisphere.;Universal Pictures;Electric Parc;Tomas Gislason;Tomas Gislason;Jorgen Leth;;
Joy Luck Club;1993;Hang Ah Alley (Chinatown);;Hollywood Pictures;National Broadcasting Company (NBC);Wayne Wang;Amy Tan;Kieu Chinh;Tsai Chin;France Nuyen
Joy Luck Club;1993;Horace Mann School (3351 23rd Street);;Hollywood Pictures;National Broadcasting Company (NBC);Wayne Wang;Amy Tan;Kieu Chinh;Tsai Chin;France Nuyen
Joy Luck Club;1993;901 Union Street;;Hollywood Pictures;National Broadcasting Company (NBC);Wayne Wang;Amy Tan;Kieu Chinh;Tsai Chin;France Nuyen
Joy Luck Club;1993;610 Rhode Island Street (Potrero Hill);;Hollywood Pictures;National Broadcasting Company (NBC);Wayne Wang;Amy Tan;Kieu Chinh;Tsai Chin;France Nuyen
Joy Luck Club;1993;375 Laguna Honda Blvd.;;Hollywood Pictures;National Broadcasting Company (NBC);Wayne Wang;Amy Tan;Kieu Chinh;Tsai Chin;France Nuyen
Joy Luck Club;1993;180 Manchester Street;;Hollywood Pictures;National Broadcasting Company (NBC);Wayne Wang;Amy Tan;Kieu Chinh;Tsai Chin;France Nuyen
Mrs. Doubtfire;1993;1200 Washington Street at Taylor Street;;Twentieth Century Fox Film Corporation;Twentieth Century Fox Film Corporation;Chris Columbus;Randi Mayem Singer;Robin Williams;Sally Field;Pierce Brosnan
Mrs. Doubtfire;1993;Hancock School (940 Filbert Street);;Twentieth Century Fox Film Corporation;Twentieth Century Fox Film Corporation;Chris Columbus;Randi Mayem Singer;Robin Williams;Sally Field;Pierce Brosnan
Mrs. Doubtfire;1993;Danilo's Bakery (Green Street & Bannam Place);;Twentieth Century Fox Film Corporation;Twentieth Century Fox Film Corporation;Chris Columbus;Randi Mayem Singer;Robin Williams;Sally Field;Pierce Brosnan
Mrs. Doubtfire;1993;Chrissy Field;Chrissy Field was originally an airfield for the Presidio Army Base.;Twentieth Century Fox Film Corporation;Twentieth Century Fox Film Corporation;Chris Columbus;Randi Mayem Singer;Robin Williams;Sally Field;Pierce Brosnan
Mrs. Doubtfire;1993;520-522A Green Street at Grant Street;;Twentieth Century Fox Film Corporation;Twentieth Century Fox Film Corporation;Chris Columbus;Randi Mayem Singer;Robin Williams;Sally Field;Pierce Brosnan
Mrs. Doubtfire;1993;516 Green Street;;Twentieth Century Fox Film Corporation;Twentieth Century Fox Film Corporation;Chris Columbus;Randi Mayem Singer;Robin Williams;Sally Field;Pierce Brosnan
Mrs. Doubtfire;1993;100 Embarcadero Street;;Twentieth Century Fox Film Corporation;Twentieth Century Fox Film Corporation;Chris Columbus;Randi Mayem Singer;Robin Williams;Sally Field;Pierce Brosnan
Sister Act 2: Back in the Habit;1993;St. Peter & Paul's Church (666 Filbert Street, Washington Square);Though Marilyn Monroe and Joe DiMaggio were not allowed to be married at the Church (DiMaggio had married his first wife at the Church but was divorced), the couple returned to the steps of the Church for photos, following their City Hall nuptials.;Touchstone Pictures;Buena Vista Pictures;Bill Duke;Joseph Howard;Whoopi Goldberg;Maggie Smith;
Sister Act 2: Back in the Habit;1993;Maritime Museum, Building 201 (Fort Mason);;Touchstone Pictures;Buena Vista Pictures;Bill Duke;Joseph Howard;Whoopi Goldberg;Maggie Smith;
Sister Act 2: Back in the Habit;1993;Coit Tower;The Tower was funded by a gift bequeathed by Lillie Hitchcock Coit, a socialite who reportedly liked to chase fires. Though the tower resembles a firehose nozzle, it was not designed this way.;Touchstone Pictures;Buena Vista Pictures;Bill Duke;Joseph Howard;Whoopi Goldberg;Maggie Smith;
Sister Act 2: Back in the Habit;1993;CCSF Alemany Campus;;Touchstone Pictures;Buena Vista Pictures;Bill Duke;Joseph Howard;Whoopi Goldberg;Maggie Smith;
Sister Act 2: Back in the Habit;1993;Carnelian Room, Bank of America Building (555 California Street, 53rd Floor);The Bank of America Building was the tallest building on the West Coast from 1969-1972, when it was surpassed by the TransAmerica Pyramid. Today, the Bank of America building is the 5th tallest building on the West Coast.;Touchstone Pictures;Buena Vista Pictures;Bill Duke;Joseph Howard;Whoopi Goldberg;Maggie Smith;
So I Married an Axe Murderer;1993;Vesuvio Café (255 Columbus Avenue);Jack Kerouac was a regular at the café.;TriStar Pictures;TriStar Pictures;Thomas Schlamme;Robbie Fox;Mike Myers;Nancy Travis;
So I Married an Axe Murderer;1993;Swedenborgian Church (2107 Lyon Street);;TriStar Pictures;TriStar Pictures;Thomas Schlamme;Robbie Fox;Mike Myers;Nancy Travis;
So I Married an Axe Murderer;1993;St. John's Presbyterian Church (25 Lake Street);;TriStar Pictures;TriStar Pictures;Thomas Schlamme;Robbie Fox;Mike Myers;Nancy Travis;
So I Married an Axe Murderer;1993;San Francisco Chronicle (901 Mission Street at 15th Street);The paper is called the San Francisco Globe in the movie.;TriStar Pictures;TriStar Pictures;Thomas Schlamme;Robbie Fox;Mike Myers;Nancy Travis;
So I Married an Axe Murderer;1993;Rocco's Corner (Columbus Street);;TriStar Pictures;TriStar Pictures;Thomas Schlamme;Robbie Fox;Mike Myers;Nancy Travis;
So I Married an Axe Murderer;1993;Prudente's Italian Deli (1462 Grant Ave at Union);"Prudente's Italian Deli, which has since closed, is called ""Meats of the World"" in the film.";TriStar Pictures;TriStar Pictures;Thomas Schlamme;Robbie Fox;Mike Myers;Nancy Travis;
So I Married an Axe Murderer;1993;Fog City Diner (1300 Battery Street);;TriStar Pictures;TriStar Pictures;Thomas Schlamme;Robbie Fox;Mike Myers;Nancy Travis;
So I Married an Axe Murderer;1993;Edinburgh Castle (950 Geary Street);;TriStar Pictures;TriStar Pictures;Thomas Schlamme;Robbie Fox;Mike Myers;Nancy Travis;
So I Married an Axe Murderer;1993;City Light Bookstore (261 Columbus Avenue);;TriStar Pictures;TriStar Pictures;Thomas Schlamme;Robbie Fox;Mike Myers;Nancy Travis;
So I Married an Axe Murderer;1993;Café Picaro 3120 16th Street;;TriStar Pictures;TriStar Pictures;Thomas Schlamme;Robbie Fox;Mike Myers;Nancy Travis;
So I Married an Axe Murderer;1993;Alcatraz Island;Alcatraz Island was a military fort before it became a prison.;TriStar Pictures;TriStar Pictures;Thomas Schlamme;Robbie Fox;Mike Myers;Nancy Travis;
So I Married an Axe Murderer;1993;Aladdin Terrace (off of Taylor Street, Between Filbert and Union);;TriStar Pictures;TriStar Pictures;Thomas Schlamme;Robbie Fox;Mike Myers;Nancy Travis;
So I Married an Axe Murderer;1993;305 Hugo Street;;TriStar Pictures;TriStar Pictures;Thomas Schlamme;Robbie Fox;Mike Myers;Nancy Travis;
So I Married an Axe Murderer;1993;1462 Grant Avenue, at Union Street;;TriStar Pictures;TriStar Pictures;Thomas Schlamme;Robbie Fox;Mike Myers;Nancy Travis;
The Nightmare Before Christmas;1993;;;Touchstone Pictures;Buena Vista Pictures;Henry Selick;Tim Burton;Danny Elfman;Catherine O'Hara;
